X1,X2,Clase
6.7,6.0,Iris-virginica
6.5,5.6,Iris-virginica
6.8,6.2,Iris-virginica
7.1,6.4,Iris-virginica
6.9,6.1,Iris-virginica
7.0,6.3,Iris-virginica
6.5,5.8,Iris-virginica
6.6,6.0,Iris-virginica
6.9,6.2,Iris-virginica
6.7,6.0,Iris-virginica
6.8,6.1,Iris-virginica
6.6,5.9,Iris-virginica
7.0,6.3,Iris-virginica
5.3,1.6,Iris-setosa
5.1,1.5,Iris-setosa
5.4,1.7,Iris-setosa
5.0,1.6,Iris-setosa
5.5,1.4,Iris-setosa
5.1,1.5,Iris-setosa
5.7,1.7,Iris-setosa
5.4,1.4,Iris-setosa
5.9,1.5,Iris-setosa
5.8,1.6,Iris-setosa
6.4,4.8,Iris-versicolor
6.5,4.5,Iris-versicolor
6.3,4.9,Iris-versicolor
6.9,4.7,Iris-versicolor
6.0,4.3,Iris-versicolor
5.7,4.5,Iris-versicolor
5.8,4.6,Iris-versicolor
6.2,4.4,Iris-versicolor
6.3,4.5,Iris-versicolor
6.7,4.7,Iris-versicolor
7.2,6.0,Iris-virginica
7.4,6.1,Iris-virginica
7.1,6.3,Iris-virginica
7.3,6.3,Iris-virginica
7.2,6.4,Iris-virginica
7.5,6.0,Iris-virginica
7.4,5.7,Iris-virginica
7.6,6.1,Iris-virginica
7.7,6.3,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.9,Iris-virginica
7.6,6.6,Iris-virginica
7.9,6.8,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.8,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.7,Iris-virginica
7.7,6.7,Iris-virginica
5.6,1.3,Iris-setosa
5.8,1.4,Iris-setosa
5.7,1.5,Iris-setosa
5.9,1.2,Iris-setosa
5.4,1.3,Iris-setosa
6.0,1.6,Iris-setosa
6.2,1.4,Iris-setosa
6.1,1.5,Iris-setosa
6.3,1.6,Iris-setosa
6.0,1.4,Iris-setosa
6.7,4.4,Iris-versicolor
6.5,4.2,Iris-versicolor
6.8,4.5,Iris-versicolor
6.6,4.3,Iris-versicolor
6.4,4.1,Iris-versicolor
6.9,4.6,Iris-versicolor
6.7,4.5,Iris-versicolor
6.8,4.7,Iris-versicolor
6.5,4.4,Iris-versicolor
6.3,4.5,Iris-versicolor
7.5,6.3,Iris-virginica
7.7,6.7,Iris-virginica
7.9,6.8,Iris-virginica
7.6,6.4,Iris-virginica
7.3,6.3,Iris-virginica
7.2,6.0,Iris-virginica
7.4,6.1,Iris-virginica
7.1,6.3,Iris-virginica
7.6,6.6,Iris-virginica
7.2,6.1,Iris-virginica
7.3,6.1,Iris-virginica
7.4,6.2,Iris-virginica
7.7,6.7,Iris-virginica
7.8,6.9,Iris-virginica
7.9,7.1,Iris-virginica
7.5,6.4,Iris-virginica
7.4,6.3,Iris-virginica
7.2,6.0,Iris-virginica
7.3,6.1,Iris-virginica
7.6,6.5,Iris-virginica
